group,area,Daily Deaths,Daily Cases,Deaths,Cases,code,population,Deaths per Million,Cases per Million,date
usa,Alabama,0,0,21001,1642062,AL,4.9,4286.0,335110.0,2023-03-06
usa,Alaska,0,0,1486,307073,AK,0.73,2036.0,420650.0,2023-03-06
usa,American Samoa,0,0,34,8320,AS,0.055,618.0,151270.0,2023-03-06
usa,Arizona,0,0,33076,2440294,AZ,7.28,4543.0,335210.0,2023-03-06
usa,Arkansas,0,83,13001,1005930,AR,3.02,4305.0,333090.0,2023-03-06
usa,California,0,0,101037,12110297,CA,39.51,2557.0,306510.0,2023-03-06
usa,Colorado,0,553,14127,1763574,CO,5.76,2453.0,306180.0,2023-03-06
usa,Connecticut,0,82,12196,976156,CT,3.57,3416.0,273430.0,2023-03-06
usa,Cruise Ship,0,0,3,152,,,,,2023-03-06
usa,Delaware,0,0,3324,330793,DE,0.97,3427.0,341020.0,2023-03-06
usa,District of Columbia,0,0,1430,177714,DC,0.71,2014.0,250300.0,2023-03-06
usa,Florida,0,0,86850,7574590,FL,21.48,4043.0,352630.0,2023-03-06
usa,Georgia,0,0,42427,3065390,GA,10.62,3995.0,288640.0,2023-03-06
usa,Guam,0,0,420,61002,GU,0.165,2545.0,369710.0,2023-03-06
usa,Hawaii,0,0,1834,380098,HI,1.42,1292.0,267670.0,2023-03-06
usa,Idaho,0,0,5399,519850,ID,1.79,3016.0,290420.0,2023-03-06
usa,Illinois,0,0,41443,4072972,IL,12.67,3271.0,321470.0,2023-03-06
usa,Indiana,0,0,26091,2047622,IN,6.73,3877.0,304250.0,2023-03-06
usa,Iowa,0,0,10700,902075,IA,3.16,3386.0,285470.0,2023-03-06
usa,Kansas,0,40,10055,936471,KS,2.91,3455.0,321810.0,2023-03-06
usa,Kentucky,0,0,18094,1713684,KY,4.47,4048.0,383370.0,2023-03-06
usa,Louisiana,0,0,18738,1570671,LA,4.65,4030.0,337780.0,2023-03-06
usa,Maine,0,0,2921,316760,ME,1.34,2180.0,236390.0,2023-03-06
usa,Maryland,7,525,16513,1363586,MD,6.05,2729.0,225390.0,2023-03-06
usa,Massachusetts,0,0,24249,2220962,MA,6.89,3519.0,322350.0,2023-03-06
usa,Michigan,0,0,42096,3057222,MI,9.99,4214.0,306030.0,2023-03-06
usa,Minnesota,0,0,14820,1775264,MN,5.64,2628.0,314760.0,2023-03-06
usa,Mississippi,0,0,13351,989282,MS,2.98,4480.0,331970.0,2023-03-06
usa,Missouri,0,183,22825,1773865,MO,6.63,3443.0,267550.0,2023-03-06
usa,Montana,0,0,3652,329386,MT,1.07,3413.0,307840.0,2023-03-06
usa,Nebraska,0,0,4915,565924,NE,1.93,2547.0,293220.0,2023-03-06
usa,Nevada,0,0,11916,888983,NV,3.08,3869.0,288630.0,2023-03-06
usa,New Hampshire,5,428,3000,378089,NH,1.36,2206.0,278010.0,2023-03-06
usa,New Jersey,4,1869,35995,3046838,NJ,8.88,4053.0,343110.0,2023-03-06
