group,area,code,population
world,Afghanistan,AFG,38.928340999999996
world,Albania,ALB,2.8778
world,Algeria,DZA,43.851043
world,Andorra,AND,0.077265
world,Angola,AGO,32.866268
world,Antigua and Barbuda,ATG,0.097928
world,Argentina,ARG,45.195777
world,Armenia,ARM,2.963234
world,Austria,AUT,9.0064
world,Azerbaijan,AZE,10.139175
world,Bahamas,BHS,0.393248
world,Bahrain,BHR,1.701583
world,Bangladesh,BGD,164.68938300000002
world,Barbados,BRB,0.287371
world,Belarus,BLR,9.449321000000001
world,Belgium,BEL,11.589616
world,Belize,BLZ,0.397621
world,Benin,BEN,12.123198
world,Bhutan,BTN,0.771612
world,Bolivia,BOL,11.673029
world,Bosnia and Herzegovina,BIH,3.280815
world,Botswana,BWA,2.351625
world,Brazil,BRA,212.559409
world,Brunei,BRN,0.437483
world,Bulgaria,BGR,6.9484449999999995
world,Burkina Faso,BFA,20.903278
world,Myanmar,MMR,54.40979399999999
world,Burundi,BDI,11.890781
world,Cabo Verde,CPV,0.555988
world,Cambodia,KHM,16.718971
world,Cameroon,CMR,26.545864
world,Central African Republic,CAF,4.829764
world,Chad,TCD,16.425859
world,Chile,CHL,19.116209
world,Colombia,COL,50.882884000000004
world,Congo (Brazzaville),COG,5.518092
world,Congo (Kinshasa),COD,89.56140400000001
world,Comoros,COM,0.8695950000000001
world,Costa Rica,CRI,5.094114
world,Cote d'Ivoire,CIV,26.378275
world,Croatia,HRV,4.105268
world,Cuba,CUB,11.326616
world,Cyprus,CYP,1.2073610000000001
world,Czechia,CZE,10.708982
world,Denmark,DNK,5.792203
world,Djibouti,DJI,0.988002
world,Dominica,DMA,0.071991
world,Dominican Republic,DOM,10.847904
world,Ecuador,ECU,17.643060000000002
world,Egypt,EGY,102.33440300000001
world,El Salvador,SLV,6.486201
world,Equatorial Guinea,GNQ,1.402985
world,Eritrea,ERI,3.5464269999999996
world,Estonia,EST,1.326539
world,Eswatini,SWZ,1.160164
world,Ethiopia,ETH,114.96358300000001
world,Fiji,FJI,0.896444
world,Finland,FIN,5.540718
world,France,FRA,65.273512
world,Gabon,GAB,2.2257279999999997
world,Gambia,GMB,2.416664
world,Georgia,GEO,3.989175
world,Germany,DEU,83.78394499999999
world,Ghana,GHA,31.072945
world,Greece,GRC,10.423055999999999
world,Grenada,GRD,0.11251900000000001
world,Guatemala,GTM,17.915567000000003
world,Guinea,GIN,13.132792000000002
world,Guinea-Bissau,GNB,1.967998
world,Guyana,GUY,0.786559
world,Haiti,HTI,11.402533
world,Vatican City,VAT,0.0008089999999999999
world,Honduras,HND,9.904608
world,Hungary,HUN,9.66035
world,Iceland,ISL,0.34125
world,India,IND,1380.004385
world,Indonesia,IDN,273.523621
world,Iran,IRN,83.992953
world,Iraq,IRQ,40.222503
world,Ireland,IRL,4.937796
world,Israel,ISR,8.655541
world,Italy,ITA,60.461828000000004
world,Jamaica,JAM,2.961161
world,Japan,JPN,126.47645800000001
world,Jordan,JOR,10.20314
world,Kazakhstan,KAZ,18.776707000000002
world,Kenya,KEN,53.7713
world,South Korea,KOR,51.269183
world,Kosovo,XKS,1.810366
world,Kuwait,KWT,4.270563
world,Kyrgyzstan,KGZ,6.524191
world,Laos,LAO,7.275556
world,Latvia,LVA,1.886202
world,Lebanon,LBN,6.825442
world,Lesotho,LSO,2.142252
world,Liberia,LBR,5.057677
world,Libya,LBY,6.871287
world,Liechtenstein,LIE,0.038137
world,Lithuania,LTU,2.722291
world,Luxembourg,LUX,0.625976
world,Madagascar,MDG,27.691019
world,Malawi,MWI,19.129955
world,Malaysia,MYS,32.365998
world,Maldives,MDV,0.540542
world,Mali,MLI,20.250834
world,Malta,MLT,0.441539
world,Mauritania,MRT,4.64966
world,Mauritius,MUS,1.271767
world,Mexico,MEX,127.792286
world,Moldova,MDA,4.033963
world,Monaco,MCO,0.039244
world,Mongolia,MNG,3.278292
world,Montenegro,MNE,0.628062
world,Morocco,MAR,36.910558
world,Mozambique,MOZ,31.255435
world,Namibia,NAM,2.540916
world,Nepal,NPL,29.136808000000002
world,Netherlands,NLD,17.134873000000002
world,New Zealand,NZL,4.822233
world,Nicaragua,NIC,6.624553999999999
world,Niger,NER,24.206636
world,Nigeria,NGA,206.139587
world,North Macedonia,MKD,2.08338
world,Norway,NOR,5.4212419999999995
world,Oman,OMN,5.106622
world,Pakistan,PAK,220.892331
world,Panama,PAN,4.314768
world,Papua New Guinea,PNG,8.947027
world,Paraguay,PRY,7.13253
world,Peru,PER,32.971846
world,Philippines,PHL,109.58108500000002
world,Poland,POL,37.846605
world,Portugal,PRT,10.196707
world,Qatar,QAT,2.8810599999999997
world,Romania,ROU,19.237682
world,Russia,RUS,145.93446
world,Rwanda,RWA,12.952209
world,Saint Kitts and Nevis,KNA,0.053191999999999996
world,Saint Lucia,LCA,0.183629
world,Saint Vincent and the Grenadines,VCT,0.110947
world,San Marino,SMR,0.033938
world,Sao Tome and Principe,STP,0.21916100000000002
world,Saudi Arabia,SAU,34.813867
world,Senegal,SEN,16.74393
world,Serbia,SRB,8.73737
world,Seychelles,SYC,0.09834
world,Sierra Leone,SLE,7.976985000000001
world,Singapore,SGP,5.850343
world,Slovakia,SVK,5.459643
world,Slovenia,SVN,2.078932
world,Somalia,SOM,15.893219
world,South Africa,ZAF,59.308690000000006
