group,area,Daily Deaths,Daily Cases,Deaths,Cases,code,population,Deaths per Million,Cases per Million,date
usa,Alabama,0,0,20870,1610535,AL,4.9,4259.0,328680.0,2023-01-26
usa,Alaska,0,0,1473,303575,AK,0.73,2018.0,415860.0,2023-01-26
usa,American Samoa,0,0,34,8317,AS,0.055,618.0,151220.0,2023-01-26
usa,Arizona,0,0,32775,2398200,AZ,7.28,4502.0,329420.0,2023-01-26
usa,Arkansas,25,668,12825,995505,AR,3.02,4247.0,329640.0,2023-01-26
usa,California,192,5669,100009,11978785,CA,39.51,2531.0,303180.0,2023-01-26
usa,Colorado,0,0,14024,1746349,CO,5.76,2435.0,303190.0,2023-01-26
usa,Connecticut,0,427,11942,964903,CT,3.57,3345.0,270280.0,2023-01-26
usa,Cruise Ship,0,0,3,152,,,,,2023-01-26
usa,Delaware,0,0,3254,325872,DE,0.97,3355.0,335950.0,2023-01-26
usa,District of Columbia,0,0,1421,175569,DC,0.71,2001.0,247280.0,2023-01-26
usa,Florida,0,0,84927,7443954,FL,21.48,3954.0,346550.0,2023-01-26
usa,Georgia,0,0,41915,3027856,GA,10.62,3947.0,285110.0,2023-01-26
usa,Guam,0,33,415,60705,GU,0.165,2515.0,367910.0,2023-01-26
usa,Hawaii,0,0,1786,376977,HI,1.42,1258.0,265480.0,2023-01-26
usa,Idaho,0,0,5357,515002,ID,1.79,2993.0,287710.0,2023-01-26
usa,Illinois,108,10924,41088,4019768,IL,12.67,3243.0,317270.0,2023-01-26
usa,Indiana,0,0,25861,2024969,IN,6.73,3843.0,300890.0,2023-01-26
usa,Iowa,0,0,10566,894124,IA,3.16,3344.0,282950.0,2023-01-26
usa,Kansas,0,0,9944,926339,KS,2.91,3417.0,318330.0,2023-01-26
usa,Kentucky,0,0,17838,1685679,KY,4.47,3991.0,377110.0,2023-01-26
usa,Louisiana,0,0,18525,1538276,LA,4.65,3984.0,330810.0,2023-01-26
usa,Maine,1,226,2859,311128,ME,1.34,2134.0,232190.0,2023-01-26
usa,Maryland,5,967,16227,1343049,MD,6.05,2682.0,221990.0,2023-01-26
usa,Massachusetts,189,7156,23594,2193582,MA,6.89,3424.0,318370.0,2023-01-26
usa,Michigan,0,0,41445,3024478,MI,9.99,4149.0,302750.0,2023-01-26
usa,Minnesota,78,5341,14554,1753092,MN,5.64,2580.0,310830.0,2023-01-26
usa,Mississippi,40,3902,13191,974487,MS,2.98,4427.0,327010.0,2023-01-26
usa,Missouri,7,789,22553,1753585,MO,6.63,3402.0,264490.0,2023-01-26
usa,Montana,0,0,3633,325227,MT,1.07,3395.0,303950.0,2023-01-26
usa,Nebraska,0,0,4734,558923,NE,1.93,2453.0,289600.0,2023-01-26
usa,Nevada,0,0,11875,882917,NV,3.08,3856.0,286660.0,2023-01-26
usa,New Hampshire,3,140,2932,372923,NH,1.36,2156.0,274210.0,2023-01-26
usa,New Jersey,10,2489,35771,2993601,NJ,8.88,4028.0,337120.0,2023-01-26
usa,New Mexico,7,175,8939,664199,NM,2.1,4257.0,316290.0,2023-01-26
usa,New York,30,4562,76247,6697789,NY,23.63,3227.0,283440.0,2023-01-26
usa,North Carolina,0,0,28040,3412542,NC,10.49,2673.0,325310.0,2023-01-26
usa,North Dakota,0,0,2442,282170,ND,0.76,3213.0,371280.0,2023-01-26
usa,Northern Mariana Islands,0,0,41,13485,MP,0.054,759.0,249720.0,2023-01-26
usa,Ohio,0,8155,41355,3347767,OH,11.69,3538.0,286380.0,2023-01-26
usa,Oklahoma,71,4691,17652,1270476,OK,3.96,4458.0,320830.0,2023-01-26
usa,Oregon,0,0,9164,948901,OR,4.22,2172.0,224860.0,2023-01-26
usa,Pennsylvania,0,0,49633,3469076,PA,12.8,3878.0,271020.0,2023-01-26
usa,Puerto Rico,8,1389,5674,1080050,PR,3.194,1776.0,338150.0,2023-01-26
usa,Rhode Island,9,1654,3821,454211,RI,1.06,3605.0,428500.0,2023-01-26
usa,South Carolina,0,0,19093,1807019,SC,5.15,3707.0,350880.0,2023-01-26
usa,South Dakota,0,0,3149,273929,SD,0.88,3578.0,311280.0,2023-01-26
usa,Tennessee,0,0,28883,2468351,TN,6.83,4229.0,361400.0,2023-01-26
usa,Texas,7,638,92559,8351893,TX,29.0,3192.0,288000.0,2023-01-26
usa,Utah,19,1279,5253,1081346,UT,3.21,1636.0,336870.0,2023-01-26
usa,Vermont,0,0,889,150190,VT,0.62,1434.0,242240.0,2023-01-26
usa,Virgin Islands,0,35,129,24460,VI,0.106,1217.0,230750.0,2023-01-26
usa,Virginia,0,0,23088,2251042,VA,8.54,2704.0,263590.0,2023-01-26
usa,Washington,1,0,15381,1904198,WA,7.61,2021.0,250220.0,2023-01-26
usa,West Virginia,14,325,7822,633282,WV,1.79,4370.0,353790.0,2023-01-26
usa,Wisconsin,22,704,16092,1980617,WI,5.82,2765.0,340310.0,2023-01-26
usa,Wyoming,0,0,1977,183774,WY,0.58,3409.0,316850.0,2023-01-26
world,Afghanistan,0,0,7872,208324,AFG,38.928341,202.0,5350.0,2023-01-26
